Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Utah Jazz*,28.5,47,18,49,16,9.09,-0.1,8.99,117.4,108.3,9.1,98.6,0.244,0.491,0.596,0.563,12.7,24.3,0.194,0.506,10.3,79.1,0.159,Vivint Smart Home Arena,125276,3915
2,Milwaukee Bucks,28,40,24,44,20,6.27,-0.08,6.19,116.7,110.6,6.1,101.9,0.226,0.405,0.592,0.565,12.2,23.2,0.171,0.531,11.7,79.6,0.157,Fiserv Forum,48380,1561
3,Los Angeles Clippers*,28.8,43,22,44,21,6.03,-0.02,6.01,117.9,111.7,6.2,97,0.223,0.397,0.599,0.564,12,22.9,0.186,0.532,11.9,79.1,0.19,STAPLES Center,6334,192
4,Phoenix Suns*,26.6,46,18,44,20,6.11,-0.18,5.93,116.5,110.3,6.2,97.2,0.21,0.394,0.594,0.563,11.8,20.9,0.173,0.53,12.5,78.4,0.191,Phoenix Suns Arena,87605,2577
5,Philadelphia 76ers*,27.1,44,21,43,22,5.4,0.12,5.52,112.8,107.4,5.4,99.7,0.299,0.345,0.578,0.54,13,23.5,0.228,0.521,13.9,78.6,0.2,Wells Fargo Center,48107,1503
6,Denver Nuggets,26,43,22,43,22,5.22,-0.24,4.98,117.2,111.9,5.3,97,0.218,0.381,0.59,0.559,12.2,24.6,0.174,0.544,12.9,79,0.196,Ball Arena,46481,1367
7,Brooklyn Nets*,28.2,43,22,41,24,4.31,-0.26,4.04,118.2,113.9,4.3,99.6,0.257,0.414,0.607,0.572,12.3,21.9,0.208,0.535,11.3,77.7,0.186,Barclays Center,25172,763
8,Los Angeles Lakers,28.3,37,28,39,26,2.98,-0.18,2.81,109.7,106.8,2.9,98.7,0.268,0.366,0.57,0.538,13.8,22.4,0.199,0.523,13.7,79.4,0.179,STAPLES Center,12532,380
9,New York Knicks,25.5,37,28,39,26,2.83,-0.47,2.37,111.2,108.3,2.9,96,0.244,0.344,0.561,0.526,12,22.7,0.19,0.513,11.8,78.8,0.196,Madison Square Garden (IV),36188,1097
10,Dallas Mavericks,26.3,36,28,36,28,1.88,0.21,2.09,114.8,112.9,1.9,97.3,0.245,0.436,0.58,0.548,11.2,20.7,0.19,0.534,11.5,77.8,0.196,American Airlines Center,77161,2411
11,Boston Celtics,25.2,34,31,36,29,1.55,0.19,1.75,114,112.5,1.5,98.2,0.238,0.405,0.575,0.542,12.7,24.9,0.185,0.54,12.8,78.1,0.213,TD Garden,22980,676
